"image.alt","image.src","image.href","image.text"
"1940's Vintage Engagement | Casey Connell Photography","https://s-media-cache-ak0.pinimg.com/236x/9d/b1/da/9db1dae0da2b9cac1f1fea93b18737d8.jpg","https://www.pinterest.com/pin/132434045268360957/",""
"marie antoinette bridal shower | Lindsey Gomes Photography","https://s-media-cache-ak0.pinimg.com/236x/4e/10/61/4e10616fbb78b91e5ed707e35c12dff0.jpg","https://www.pinterest.com/pin/132434045268360946/",""
"elegant pink DIY wedding | Elegant Images","https://s-media-cache-ak0.pinimg.com/236x/bb/d3/95/bbd3954166e2a6f1c8017e22bbf63390.jpg","https://www.pinterest.com/pin/14144186302373914/",""
"vintage glam bridal session | Bethany Erin Photography","https://s-media-cache-ak0.pinimg.com/236x/20/9f/7d/209f7d3486a8ff047225d137a38ca2ec.jpg","https://www.pinterest.com/pin/132434045268360898/",""
"romantic Great Gatsby inspiration | Bethany Boone Photography","https://s-media-cache-ak0.pinimg.com/236x/83/f4/86/83f486463c98678f5aac44daf78d9b83.jpg","https://www.pinterest.com/pin/132434045265159681/",""
"romantic Great Gatsby inspiration | Bethany Boone Photography","https://s-media-cache-ak0.pinimg.com/236x/97/64/7d/97647d62e7741ad7364c868356f3a8e0.jpg","https://www.pinterest.com/pin/132434045265159682/",""
"vintage fall bouquet | Green Blossom Photography | Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/42/a8/7b/42a87babe06c76ac716fa6894473eac4.jpg","https://www.pinterest.com/pin/132434045268360785/",""
"art deco escort card | Green Blossom Photography | Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/53/8b/00/538b00315a8b594c3d7561e61f85aa5f.jpg","https://www.pinterest.com/pin/132434045268360782/",""
"art deco place setting | Andi & Zoe Photography | Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/0f/86/86/0f8686749dac56bbf87866a98714a505.jpg","https://www.pinterest.com/pin/523402787915509926/",""
"art deco bouquet | Andi & Zoe Photography | Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/d5/8d/98/d58d98017aff4d6ea0fe142d24ac539c.jpg","https://www.pinterest.com/pin/132434045268360761/",""
"art deco cake | Andi & Zoe Photography | Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/83/c4/f1/83c4f16037e9eb0270a2c1aef7329d1d.jpg","https://www.pinterest.com/pin/132434045268360760/",""
"art deco bridal shower | Jessica Maida Photography | Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/45/4a/4b/454a4b384238f8b8bfa47c67b326fb0d.jpg","https://www.pinterest.com/pin/132434045268360694/",""
"art deco cake | Jessica Maida Photography | Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/70/6f/6e/706f6e300f56219163943cc017ba5612.jpg","https://www.pinterest.com/pin/132434045268360693/",""
"art deco wedding | Star Noir Studio | see more on Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/cf/36/98/cf36985a16203e31c06fb0933d32e429.jpg","https://www.pinterest.com/pin/132434045268360687/",""
"art deco wedding | Star Noir Studio | see more on Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/cc/be/07/ccbe073dcc10e27e1d160c1b544f3488.jpg","https://www.pinterest.com/pin/132434045268360685/",""
"rhinestone headpiece | Kimberly Salem Photography | Glamour & Grace","https://s-media-cache-ak0.pinimg.com/236x/f5/c9/f3/f5c9f30d1193b07b76358e3524dea981.jpg","https://www.pinterest.com/pin/132434045268360626/",""
"Elegant table decoration","https://s-media-cache-ak0.pinimg.com/474x/70/53/23/7053231b56e9a4c183e0e920ba6f0ef6.jpg","https://www.pinterest.com/pin/504755070708739564/",""
".","https://s-media-cache-ak0.pinimg.com/474x/14/f6/e1/14f6e1782817ef27dcddf23929be55f4.jpg","https://www.pinterest.com/pin/25473554118520562/",""
"Elegant cake nook with chandelier. Event Design: Romancing the Stone Styling ---> http://www.weddingchicks.com/2014/05/08/shabby-chic-western-wedding/","https://s-media-cache-ak0.pinimg.com/474x/c9/d9/c4/c9d9c4f9578984e6b4cc3addd6b8cb7f.jpg","https://www.pinterest.com/pin/25473554118503032/",""
"Vintage Drink Station | The Hottest New Wedding Reception Ideas | MODWEDDING.com","https://s-media-cache-ak0.pinimg.com/474x/3f/9d/62/3f9d62fd840cd50536674ee93da5b57e.jpg","https://www.pinterest.com/pin/25473554118490934/",""
"Bright peony tablescape with gold touches","https://s-media-cache-ak0.pinimg.com/474x/18/53/60/185360d7e245156acd27aa754acb173c.jpg","https://www.pinterest.com/pin/25473554118427307/",""
"Garden Wedding Inspiration with Antique Details","https://s-media-cache-ak0.pinimg.com/474x/7b/37/f8/7b37f8111f9e3bd74d7bcd2f926f8c92.jpg","https://www.pinterest.com/pin/25473554118410707/",""
"Oooh, just one of these out on the patio would be lovely! Hanging Decor By Tigerlily Weddings","https://s-media-cache-ak0.pinimg.com/474x/b2/33/bf/b233bf0d75bc1a8345610f7cc86f3b3c.jpg","https://www.pinterest.com/pin/25473554118410561/",""
"Garden Wedding Inspiration with Antique Details","https://s-media-cache-ak0.pinimg.com/474x/86/68/9d/86689d2c01520f5cf0832a496e745fc1.jpg","https://www.pinterest.com/pin/25473554118365881/",""
